me  url forks watchers  pulls
maps-app-android  https://api.github.com/repos/Esri/maps-app-android  13  14  3
quickstart-map-library-flex https://api.github.com/repos/Esri/quickstart-map-library-flex 10  33  3
side-accordion-map-storytelling-template-js https://api.github.com/repos/Esri/side-accordion-map-storytelling-template-js 12  6 3
terraformer-geostore  https://api.github.com/repos/Esri/terraformer-geostore  3 3 3
terraformer-geostore-localstorage https://api.github.com/repos/Esri/terraformer-geostore-localstorage 3 1 3
terraformer-geostore-rtree  https://api.github.com/repos/Esri/terraformer-geostore-rtree  2 0 3
basic-map-storytelling-template-js  https://api.github.com/repos/Esri/basic-map-storytelling-template-js  3 2 2
drupal-map-gallery-webmaps  https://api.github.com/repos/Esri/drupal-map-gallery-webmaps  5 2 2
featureservice2trigger  https://api.github.com/repos/Esri/featureservice2trigger  1 2 2
geotrigger-python https://api.github.com/repos/Esri/geotrigger-python 1 0 2
land-use-public-notification  https://api.github.com/repos/Esri/land-use-public-notification  7 2 2
military-features-data  https://api.github.com/repos/Esri/military-features-data  4 1 2
preview-app-osx https://api.github.com/repos/Esri/preview-app-osx 6 4 2
quickstart-map-android  https://api.github.com/repos/Esri/quickstart-map-android  22  24  2
responsive-map-js https://api.github.com/repos/Esri/responsive-map-js 7 2 2
sencha-touch-map-checkin-js https://api.github.com/repos/Esri/sencha-touch-map-checkin-js 10  5 2
solutions-geoprocessing-toolbox https://api.github.com/repos/Esri/solutions-geoprocessing-toolbox 7 0 2
terraformer-geostore-memory https://api.github.com/repos/Esri/terraformer-geostore-memory 2 0 2
app-framework-demo-osx  https://api.github.com/repos/Esri/app-framework-demo-osx  8 2 1
arcgis-osm-editor https://api.github.com/repos/Esri/arcgis-osm-editor 15  16  1
arcgis-toolkit-sl-wpf https://api.github.com/repos/Esri/arcgis-toolkit-sl-wpf 0 2 1
arcgis-viewer-builder-flex  https://api.github.com/repos/Esri/arcgis-viewer-builder-flex  7 12  1
arcpy-server-util-rest  https://api.github.com/repos/Esri/arcpy-server-util-rest  12  18  1
basic-viewer-template https://api.github.com/repos/Esri/basic-viewer-template 11  5 1
deed-drafter  https://api.github.com/repos/Esri/deed-drafter  0 3 1
geoprocessing-tools-for-hadoop  https://api.github.com/repos/Esri/geoprocessing-tools-for-hadoop  13  21  1
geotrigger-ruby https://api.github.com/repos/Esri/geotrigger-ruby 1 0 1
jquery-mobile-map-js  https://api.github.com/repos/Esri/jquery-mobile-map-js  5 6 1
landscape-modeler-js  https://api.github.com/repos/Esri/landscape-modeler-js  2 2 1
ntv2-file-routines  https://api.github.com/repos/Esri/ntv2-file-routines  2 2 1
patrol-data-capture-toolbox https://api.github.com/repos/Esri/patrol-data-capture-toolbox 3 2 1
public-information-center https://api.github.com/repos/Esri/public-information-center 5 1 1
resource-proxy  https://api.github.com/repos/Esri/resource-proxy  2 3 1
service-lookup  https://api.github.com/repos/Esri/service-lookup  2 1 1
text-and-legend-map-storytelling-template-js  https://api.github.com/repos/Esri/text-and-legend-map-storytelling-template-js  3 4 1
thematic-widget-flex  https://api.github.com/repos/Esri/thematic-widget-flex  6 3 1
tips-and-tricks-ios https://api.github.com/repos/Esri/tips-and-tricks-ios 3 2 1
transportation-511  https://api.github.com/repos/Esri/transportation-511  1 0 1
WMSMultiDimensionalEsriViewer https://api.github.com/repos/Esri/WMSMultiDimensionalEsriViewer 1 4 1
3d-cities-template  https://api.github.com/repos/Esri/3d-cities-template  6 5 0
activemq-for-geoevent https://api.github.com/repos/Esri/activemq-for-geoevent 2 2 0
add-shapefile-js  https://api.github.com/repos/Esri/add-shapefile-js  6 10  0
ago-admin-wiki  https://api.github.com/repos/Esri/ago-admin-wiki  2 26  0
android-gps-test-tool https://api.github.com/repos/Esri/android-gps-test-tool 20  21  0
arcgis-dijit-geocoder-js  https://api.github.com/repos/Esri/arcgis-dijit-geocoder-js  7 9 0
arcgis-runtime-samples-java https://api.github.com/repos/Esri/arcgis-runtime-samples-java 3 0 0
arcgis-runtime-samples-osx  https://api.github.com/repos/Esri/arcgis-runtime-samples-osx  0 0 0
arcgis-runtime-tutorials-ios  https://api.github.com/repos/Esri/arcgis-runtime-tutorials-ios  24  2 0
arcgis-samples-silverlight  https://api.github.com/repos/Esri/arcgis-samples-silverlight  31  8 0
arcgis-samples-winphone https://api.github.com/repos/Esri/arcgis-samples-winphone 3 1 0
arcgis-samples-winstore https://api.github.com/repos/Esri/arcgis-samples-winstore 8 6 0
arcgis-templates-silverlight  https://api.github.com/repos/Esri/arcgis-templates-silverlight  4 1 0
cell-coverage-ios https://api.github.com/repos/Esri/cell-coverage-ios 6 0 0
code-violation  https://api.github.com/repos/Esri/code-violation  0 0 0
community-planning  https://api.github.com/repos/Esri/community-planning  2 2 0
compare-map-storytelling-template-js  https://api.github.com/repos/Esri/compare-map-storytelling-template-js  3 2 0
contributing  https://api.github.com/repos/Esri/contributing  2 0 0
countdown-storytelling-template-js  https://api.github.com/repos/Esri/countdown-storytelling-template-js  2 4 0
defense-and-intel-basemaps-misc-toolbox https://api.github.com/repos/Esri/defense-and-intel-basemaps-misc-toolbox 0 2 0
defense-image-observables-viewer  https://api.github.com/repos/Esri/defense-image-observables-viewer  0 0 0
driving-directions-ios  https://api.github.com/repos/Esri/driving-directions-ios  13  7 0
earthquakes-feed-opsdashboard-addin https://api.github.com/repos/Esri/earthquakes-feed-opsdashboard-addin 3 0 0
edit-template https://api.github.com/repos/Esri/edit-template 2 1 0
elevation-profile-template  https://api.github.com/repos/Esri/elevation-profile-template  1 0 0
esri-cityengine-sdk https://api.github.com/repos/Esri/esri-cityengine-sdk 2 3 0
feature-service-editor-js https://api.github.com/repos/Esri/feature-service-editor-js 9 2 0
filter-template https://api.github.com/repos/Esri/filter-template 0 0 0
flex-twittersearch-widget https://api.github.com/repos/Esri/flex-twittersearch-widget 2 2 0
geocon-file-routines  https://api.github.com/repos/Esri/geocon-file-routines  0 0 0
geoprocessing-map-ipad  https://api.github.com/repos/Esri/geoprocessing-map-ipad  6 3 0
georss-drawpolygon-assignteam https://api.github.com/repos/Esri/georss-drawpolygon-assignteam 1 0 0
geotrigger-go https://api.github.com/repos/Esri/geotrigger-go 0 1 0
gis-stat-analysis-py-tutor  https://api.github.com/repos/Esri/gis-stat-analysis-py-tutor  1 3 0
gptools-for-aws https://api.github.com/repos/Esri/gptools-for-aws 2 1 0
hadoop-for-geoevent https://api.github.com/repos/Esri/hadoop-for-geoevent 5 0 0
heatmap-widget-flex https://api.github.com/repos/Esri/heatmap-widget-flex 7 7 0
html5-geolocation-tool-js https://api.github.com/repos/Esri/html5-geolocation-tool-js 6 7 0
httpPoll-for-geoevent https://api.github.com/repos/Esri/httpPoll-for-geoevent 0 0 0
instagram-for-geoevent  https://api.github.com/repos/Esri/instagram-for-geoevent  2 3 0
interop-examples-python https://api.github.com/repos/Esri/interop-examples-python 2 2 0
JSON-java https://api.github.com/repos/Esri/JSON-java 2 0 0
legend-template https://api.github.com/repos/Esri/legend-template 3 1 0
map-carousel-template https://api.github.com/repos/Esri/map-carousel-template 1 1 0
map-northarrow-ios  https://api.github.com/repos/Esri/map-northarrow-ios  0 0 0
map-tour-storytelling-template-js https://api.github.com/repos/Esri/map-tour-storytelling-template-js 24  26  0
mapkit-2-arcgis https://api.github.com/repos/Esri/mapkit-2-arcgis 7 4 0
mobile-realtime-routing-flex  https://api.github.com/repos/Esri/mobile-realtime-routing-flex  2 4 0
mongodb-for-geoevent  https://api.github.com/repos/Esri/mongodb-for-geoevent  1 2 0
mvvm-runtime-demo-wpf https://api.github.com/repos/Esri/mvvm-runtime-demo-wpf 11  1 0
nmea-for-geoevent https://api.github.com/repos/Esri/nmea-for-geoevent 0 1 0
OAuth2-Demo-iOS https://api.github.com/repos/Esri/OAuth2-Demo-iOS 0 0 0
offline-and-routing-data-collection-ios https://api.github.com/repos/Esri/offline-and-routing-data-collection-ios 10  5 0
offline-data-collection-ios https://api.github.com/repos/Esri/offline-data-collection-ios 6 6 0
ogc-crs-wkt-parser  https://api.github.com/repos/Esri/ogc-crs-wkt-parser  0 0 0
omniauth-arcgis https://api.github.com/repos/Esri/omniauth-arcgis 0 0 0
OpenDataBridge  https://api.github.com/repos/Esri/OpenDataBridge  2 0 0
panels-template https://api.github.com/repos/Esri/panels-template 1 0 0
parcel-value  https://api.github.com/repos/Esri/parcel-value  0 0 0
public-information-map-template-js  https://api.github.com/repos/Esri/public-information-map-template-js  1 0 0
quickstart-map-ios  https://api.github.com/repos/Esri/quickstart-map-ios  18  19  0
quickstart-map-phonegap https://api.github.com/repos/Esri/quickstart-map-phonegap 4 4 0
R-toolbox-py  https://api.github.com/repos/Esri/R-toolbox-py  6 3 0
route-monitor-for-geoevent  https://api.github.com/repos/Esri/route-monitor-for-geoevent  0 0 0
route-status-dashboard-js https://api.github.com/repos/Esri/route-status-dashboard-js 3 1 0
santa-dashboard https://api.github.com/repos/Esri/santa-dashboard 1 0 0
simple-map-viewer-template  https://api.github.com/repos/Esri/simple-map-viewer-template  1 2 0
speedgeeking-user-conference-2013 https://api.github.com/repos/Esri/speedgeeking-user-conference-2013 1 0 0
swipe-map-storytelling-template-js  https://api.github.com/repos/Esri/swipe-map-storytelling-template-js  4 11  0
sxsw-hackathon  https://api.github.com/repos/Esri/sxsw-hackathon  2 1 0
table-searchnearby-zoom https://api.github.com/repos/Esri/table-searchnearby-zoom 0 1 0
tableandsearch-opsdashboard-addin https://api.github.com/repos/Esri/tableandsearch-opsdashboard-addin 4 1 0
tbx-pyt-translator  https://api.github.com/repos/Esri/tbx-pyt-translator  3 5 0
telco-service-qualification https://api.github.com/repos/Esri/telco-service-qualification 1 0 0
terraformer-demo  https://api.github.com/repos/Esri/terraformer-demo  2 1 0
time-aware-template https://api.github.com/repos/Esri/time-aware-template 2 2 0
tips-and-tricks-wpf https://api.github.com/repos/Esri/tips-and-tricks-wpf 8 2 0
trimble-for-geoevent  https://api.github.com/repos/Esri/trimble-for-geoevent  0 0 0
twitter-for-geoevent  https://api.github.com/repos/Esri/twitter-for-geoevent  3 7 0
twitter-template  https://api.github.com/repos/Esri/twitter-template  0 0 0
utilities-isolation-trace https://api.github.com/repos/Esri/utilities-isolation-trace 0 0 0
utilities-telecom-desktop-addins  https://api.github.com/repos/Esri/utilities-telecom-desktop-addins  2 1 0
value-analysis-dashboard  https://api.github.com/repos/Esri/value-analysis-dashboard  2 2 0
water-utility-mobile-map  https://api.github.com/repos/Esri/water-utility-mobile-map  2 2 0
webhdfs-py  https://api.github.com/repos/Esri/webhdfs-py  2 2 0
